Campus,Sex,Area ID,Area,Career,Academic Degree,Students
ENALLT,Hombre,2,Artes y humanidades,Lingüística aplicada,Licenciatura,51
ENALLT,Hombre,2,Artes y humanidades,Lingüística hispánica,Maestría,1
ENALLT,Hombre,2,Artes y humanidades,Traducción,Licenciatura,33
ENALLT,Hombre,2,Artes y humanidades,Lingüística aplicada,Licenciatura,32
ENALLT,Hombre,2,Artes y humanidades,Lingüística,Doctorado,1
ENALLT,Hombre,2,Artes y humanidades,Enseñanza de español como lengua extranjera,Especialidad,13
ENALLT,Hombre,2,Artes y humanidades,Enseñanza de español como lengua extranjera,Especialidad,12
ENALLT,Hombre,2,Artes y humanidades,Traducción,Licenciatura,50
ENALLT,Hombre,2,Artes y humanidades,Lingüística,Doctorado,4
ENALLT,Hombre,2,Artes y humanidades,Lingüística aplicada,Maestría,3
ENALLT,Hombre,2,Artes y humanidades,Lingüística aplicada,Licenciatura,43
ENALLT,Hombre,2,Artes y humanidades,Traducción,Licenciatura,20
ENALLT,Hombre,2,Artes y humanidades,Enseñanza de español como lengua extranjera,Especialidad,10
ENALLT,Hombre,2,Artes y humanidades,Lingüística aplicada,Maestría,5
ENALLT,Mujer,2,Artes y humanidades,Lingüística aplicada,Licenciatura,67
ENALLT,Mujer,2,Artes y humanidades,Traducción,Licenciatura,158
ENALLT,Mujer,2,Artes y humanidades,Lingüística aplicada,Licenciatura,39
ENALLT,Mujer,2,Artes y humanidades,Lingüística,Doctorado,2
ENALLT,Mujer,2,Artes y humanidades,Enseñanza de español como lengua extranjera,Especialidad,50
ENALLT,Mujer,2,Artes y humanidades,Enseñanza de español como lengua extranjera,Especialidad,51
ENALLT,Mujer,2,Artes y humanidades,Traducción,Licenciatura,215
ENALLT,Mujer,2,Artes y humanidades,Lingüística,Doctorado,5
ENALLT,Mujer,2,Artes y humanidades,Lingüística aplicada,Maestría,3
ENALLT,Mujer,2,Artes y humanidades,Lingüística aplicada,Licenciatura,58
ENALLT,Mujer,2,Artes y humanidades,Traducción,Licenciatura,102
ENALLT,Mujer,2,Artes y humanidades,Enseñanza de español como lengua extranjera,Especialidad,47
ENALLT,Mujer,2,Artes y humanidades,Lingüística aplicada,Maestría,10
CU,Hombre,1,Educación,Dems química,Maestría,11
CU,Hombre,1,Educación,Dems ciencias sociales,Maestría,2
CU,Hombre,1,Educación,Dems matemáticas,Maestría,25
CU,Hombre,1,Educación,Dems biología,Maestría,20
CU,Hombre,1,Educación,Dems geografía,Maestría,2
CU,Hombre,1,Educación,Dems español,Maestría,4
CU,Hombre,1,Educación,Pedagogía,Maestría,54
CU,Hombre,1,Educación,Dems letras,Maestría,1
CU,Hombre,1,Educación,Dems geografía,Maestría,2
CU,Hombre,1,Educación,Pedagogía,Maestría,27
CU,Hombre,1,Educación,Dems español,Maestría,1
CU,Hombre,1,Educación,Dems física,Maestría,11
CU,Hombre,1,Educación,Dems filosofía,Maestría,13
CU,Hombre,1,Educación,Dems historia,Maestría,3
CU,Hombre,1,Educación,Dems historia,Maestría,8
CU,Hombre,1,Educación,Dems inglés,Maestría,8
CU,Hombre,1,Educación,Dems ciencias sociales,Maestría,14
CU,Hombre,1,Educación,Dems matemáticas,Maestría,2
CU,Hombre,1,Educación,Dems biología,Maestría,17
CU,Hombre,1,Educación,Docencia para la educación media superior,Maestría,31
CU,Hombre,1,Educación,Dems física,Maestría,4
CU,Hombre,1,Educación,Pedagogía,Doctorado,35
CU,Hombre,1,Educación,Dems inglés,Maestría,10
CU,Hombre,1,Educación,Dems letras,Maestría,3
CU,Hombre,1,Educación,Dems ciencias sociales,Maestría,13
CU,Hombre,1,Educación,Pedagogía,Maestría,57
CU,Hombre,1,Educación,Pedagogía,Licenciatura,604
CU,Hombre,1,Educación,Pedagogía,Doctorado,32
CU,Hombre,1,Educación,Dems filosofía,Maestría,14
CU,Hombre,1,Educación,Dems historia,Maestría,7
CU,Hombre,1,Educación,Dems geografía,Maestría,4
CU,Hombre,1,Educación,Dems matemáticas,Maestría,21
CU,Hombre,1,Educación,Dems letras,Maestría,4
CU,Hombre,1,Educación,Dems física,Maestría,8
